Namespace(env_name='VSS-v0', number=1002, random_seed=0, gamma=0.99, batch_size=1024, lr=5e-05, exploration_noise=0.1, polyak=0.995, policy_noise=0.2, noise_clip=0.5, policy_delay=2, max_episodes=10000000000000, max_timesteps=100, save_rate=5000, restore=False, restore_env_name='', restore_num=1, restore_step_k=4731, rl_opponent=False, opponent_prefix='', policy_update_freq=1, multithread=0, device='cpu', render=0, replay='proportional_PER', replay_max_size=500000.0)
===============VSS
Environment initialized
Episode: 1	Step: 0k	Reward: 32.85	Goal: 1 	Done Type: done_goal	Epi_step: 31 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.5621647834777832 
Episode: 2	Step: 0k	Reward: 48.69	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 1.158493161201477 
Episode: 3	Step: 0k	Reward: 25.86	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 1.2978681723276775 
Episode: 4	Step: 0k	Reward: 75.09	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 1.3292785286903381 
Episode: 5	Step: 0k	Reward: 75.67	Goal: 1 	Done Type: done_goal	Epi_step: 65 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.2270164489746094 
Episode: 6	Step: 0k	Reward: 89.19	Goal: 1 	Done Type: done_goal	Epi_step: 91 	Goal_in_100_Epi: 3 	Avg_Epi_Time: 1.2425651550292969 
Episode: 7	Step: 0k	Reward: 88.38	Goal: 1 	Done Type: done_goal	Epi_step: 70 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.2221561500004359 
Episode: 8	Step: 0k	Reward: 5.37	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.2547298967838287 
Episode: 9	Step: 0k	Reward: 12.01	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.2947062386406794 
Episode: 10	Step: 0k	Reward: 95.23	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.3224456548690795 
Episode: 11	Step: 0k	Reward: 98.66	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.4316415309906005 
Episode: 12	Step: 1k	Reward: 99.4	Goal: 1 	Done Type: done_goal	Epi_step: 68 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 4.758518671989441 
Episode: 13	Step: 1k	Reward: 93.5	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 8.240794467926026 
Episode: 14	Step: 1k	Reward: 53.52	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 8.555083441734315 
Episode: 15	Step: 1k	Reward: 91.69	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 8.898754930496215 
Episode: 16	Step: 1k	Reward: 48.44	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 9.034062004089355 
Episode: 17	Step: 1k	Reward: 71.0	Goal: 0 	Done Type: done_time_up	Epi_step: 100 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 9.189088034629822 
