Namespace(env_name='SimpleVSS-v0', number=3, random_seed=0, gamma=0.99, batch_size=1024, lr=1e-05, exploration_noise=0.1, polyak=0.995, policy_noise=0.2, noise_clip=0.5, policy_delay=2, max_episodes=10000000000000, max_timesteps=200, save_rate=5000, restore=False, restore_env_name='', restore_num=1, restore_step_k=4731, rl_opponent=False, opponent_prefix='', policy_update_freq=1, multithread=True, device='cpu', render=0, replay='proportional_PER', replay_max_size=500000.0, env_noise=0, exp_setting='different_opponent')
===============SimpleVSS
Environment initialized
16
Number:3	Episode: 1	Step: 0k	Reward: 0.17	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.2532312870025635 
Number:3	Episode: 2	Step: 0k	Reward: 48.72	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.2369314432144165 
Number:3	Episode: 3	Step: 0k	Reward: 6.42	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.2398393154144287 
Number:3	Episode: 4	Step: 0k	Reward: 11.64	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.24018079042434692 
Number:3	Episode: 5	Step: 0k	Reward: 3.23	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.23345575332641602 
Number:3	Episode: 6	Step: 1k	Reward: 4.87	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.4066301186879476 
Number:3	Episode: 7	Step: 1k	Reward: 13.66	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6644467285701207 
Number:3	Episode: 8	Step: 1k	Reward: 44.67	Goal: 1 	Done Type: done_goal	Epi_step: 37 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.6100410223007202 
Number:3	Episode: 9	Step: 1k	Reward: 31.49	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.7023060586717393 
Number:3	Episode: 10	Step: 1k	Reward: 20.68	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.7519020795822143 
Number:3	Episode: 11	Step: 1k	Reward: 65.7	Goal: 1 	Done Type: done_goal	Epi_step: 87 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 0.7781366825103759 
Number:3	Episode: 12	Step: 2k	Reward: 0.55	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 0.8860023498535157 
Number:3	Episode: 13	Step: 2k	Reward: 7.46	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 0.9995189428329467 
Number:3	Episode: 14	Step: 2k	Reward: 12.46	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.119851303100586 
Number:3	Episode: 15	Step: 2k	Reward: 4.24	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.2282269954681397 
Number:3	Episode: 16	Step: 2k	Reward: 0.81	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.2420634508132935 
Number:3	Episode: 17	Step: 3k	Reward: 8.28	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.164124345779419 
Number:3	Episode: 18	Step: 3k	Reward: 10.55	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.2641294956207276 
Number:3	Episode: 19	Step: 3k	Reward: 4.39	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.2703435897827149 
Number:3	Episode: 20	Step: 3k	Reward: 51.11	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.299477505683899 
Number:3	Episode: 21	Step: 3k	Reward: 0.1	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.3845834016799927 
Number:3	Episode: 22	Step: 4k	Reward: 8.38	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.376036238670349 
Number:3	Episode: 23	Step: 4k	Reward: -6.52	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.367832899093628 
Number:3	Episode: 24	Step: 4k	Reward: 6.24	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.3552663803100586 
Number:3	Episode: 25	Step: 4k	Reward: -1.38	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.3892186164855957 
Number:3	Episode: 26	Step: 4k	Reward: -12.43	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.4028764247894288 
Number:3	Episode: 27	Step: 5k	Reward: 11.1	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.3997850179672242 
Number:3	Episode: 28	Step: 5k	Reward: 4.03	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.4057737827301025 
Number:3	Episode: 29	Step: 5k	Reward: 7.94	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.3901750802993775 
Number:3	Episode: 30	Step: 5k	Reward: 8.19	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.3777154445648194 
