Wall time,Step,Value
1679292211.7723053,0,0.0
1679292211.7724383,1,1.0
1679292211.7724636,2,0.0
1679292211.772494,3,1.0
1679292211.7725208,4,1.0
1679292211.7725387,5,0.0
1679292211.7725546,6,0.0
1679292211.7725701,7,0.0
1679292211.7725854,8,0.0
1679292211.7726102,9,1.0
1679292211.772636,10,0.0
1679292211.772776,11,1.0
1679292211.7729144,12,0.0
1679292211.7730198,13,1.0
1679292211.7731237,14,0.0
1679292211.7732253,15,0.0
1679292211.773291,16,1.0
1679292211.7733524,17,1.0
1679292211.7734048,18,0.0
1679292211.7734551,19,0.0
1679292211.7735147,20,1.0
1679292211.7735665,21,0.0
1679292211.7736259,22,1.0
1679292211.7736855,23,1.0
1679292211.7737367,24,0.0
1679292211.7737865,25,0.0
1679292211.7738361,26,0.0
1679292211.7738855,27,0.0
1679292211.7739437,28,1.0
1679292211.7740023,29,1.0
1679292211.7740533,30,0.0
1679292211.7741115,31,1.0
1679292211.7741628,32,0.0
1679292211.77422,33,1.0
1679292211.77427,34,0.0
1679292211.7743278,35,1.0
1679292211.774386,36,1.0
1679292211.7744446,37,1.0
1679292211.7745032,38,1.0
1679292211.774562,39,1.0
1679292211.7746196,40,1.0
1679292211.7746775,41,1.0
1679292211.7747357,42,1.0
1679292211.7747862,43,0.0
1679292211.774836,44,0.0
1679292211.774885,45,0.0
1679292211.7749338,46,0.0
1679292211.7749825,47,0.0
1679292211.7750397,48,0.0
1679292211.775098,49,1.0
1679292211.775149,50,0.0
1679292211.7752073,51,1.0
1679292211.7752652,52,1.0
1679292211.7753158,53,0.0
1679292211.7753654,54,0.0
1679292211.7754233,55,1.0
1679292211.7754736,56,0.0
1679292211.7755318,57,1.0
1679292211.7755818,58,0.0
1679292211.7756314,59,0.0
1679292211.775689,60,1.0
1679292211.775747,61,1.0
1679292211.7758052,62,1.0
1679292211.7758567,63,0.0
1679292211.775914,64,1.0
1679292211.775972,65,1.0
1679292211.7760296,66,1.0
1679292211.7760873,67,1.0
1679292211.776138,68,0.0
1679292211.7761874,69,0.0
1679292211.7762365,70,0.0
1679292211.7762854,71,0.0
1679292211.7763343,72,0.0
1679292211.776392,73,1.0
1679292211.7764416,74,0.0
1679292211.7764995,75,1.0
1679292211.776558,76,1.0
1679292211.7766182,77,1.0
1679292211.7766938,78,1.0
1679292211.7767527,79,0.0
1679292211.7768106,80,1.0
1679292211.776861,81,0.0
1679292211.776911,82,0.0
1679292211.7769608,83,0.0
1679292211.7770188,84,1.0
1679292211.777069,85,0.0
1679292211.7771266,86,1.0
1679292211.7771769,87,0.0
1679292211.777235,88,1.0
1679292211.777293,89,1.0
1679292211.7773433,90,0.0
1679292211.7774014,91,1.0
1679292211.7774522,92,0.0
1679292211.7775104,93,1.0
1679292211.777561,94,0.0
1679292211.7776184,95,1.0
1679292211.777677,96,1.0
1679292211.7777278,97,0.0
1679292211.7777774,98,0.0
1679292211.777835,99,1.0
1679292211.7778854,100,0.0
1679292211.7779346,101,0.0
1679292211.7779846,102,0.0
1679292211.7780335,103,0.0
1679292211.7780912,104,1.0
1679292211.7781491,105,1.0
1679292211.7781992,106,0.0
1679292211.7782488,107,0.0
1679292211.7783139,108,1.0
1679292211.7783744,109,1.0
1679292211.778433,110,1.0
1679292211.7784832,111,0.0
1679292211.7785318,112,0.0
1679292211.7785895,113,1.0
1679292211.7786481,114,1.0
1679292211.778698,115,0.0
1679292211.7787561,116,1.0
1679292211.7788136,117,1.0
1679292211.778871,118,1.0
1679292211.7789218,119,0.0
1679292211.7789788,120,1.0
1679292211.7790291,121,0.0
1679292211.7790785,122,0.0
1679292211.7791362,123,1.0
1679292211.779194,124,1.0
1679292211.7792442,125,0.0
1679292211.7792935,126,0.0
1679292211.7793427,127,0.0
1679292211.7793918,128,0.0
1679292211.7794404,129,0.0
1679292211.779489,130,0.0
1679292211.7795377,131,0.0
1679292211.7795956,132,1.0
1679292211.7796454,133,0.0
1679292211.7796943,134,0.0
1679292211.779743,135,0.0
1679292211.7797914,136,0.0
1679292211.77985,137,1.0
1679292211.7798998,138,0.0
1679292211.779957,139,1.0
1679292211.7800076,140,0.0
1679292211.7800655,141,1.0
1679292211.7801235,142,1.0
1679292211.7801812,143,1.0
1679292211.780239,144,1.0
1679292211.7802896,145,0.0
1679292211.780347,146,1.0
1679292211.7803977,147,0.0
1679292211.780447,148,0.0
1679292211.7804961,149,0.0
1679292211.7805455,150,0.0
1679292211.7806034,151,1.0
1679292211.7806597,152,0.0
1679292211.7807195,153,1.0
1679292211.7807705,154,0.0
1679292211.780829,155,1.0
1679292211.7808878,156,1.0
1679292211.7809458,157,1.0
1679292211.7809963,158,0.0
1679292211.7810457,159,0.0
1679292211.7810953,160,0.0
1679292211.7811444,161,0.0
1679292211.7811933,162,0.0
1679292211.781242,163,0.0
1679292211.7812998,164,1.0
1679292211.7813585,165,1.0
1679292211.7814171,166,1.0
1679292211.7814677,167,0.0
1679292211.7815173,168,0.0
1679292211.7815747,169,1.0
1679292211.7816243,170,0.0
1679292211.781682,171,1.0
1679292211.7817397,172,1.0
1679292211.7817903,173,0.0
1679292211.7818396,174,0.0
1679292211.7818975,175,0.0
1679292211.7819471,176,0.0
1679292211.782004,177,0.0
1679292211.7820542,178,0.0
1679292211.7821033,179,0.0
1679292211.7821615,180,1.0
1679292211.7822113,181,0.0
1679292211.782269,182,1.0
1679292211.7823284,183,1.0
1679292211.7823858,184,0.0
1679292211.7824433,185,1.0
1679292211.782493,186,0.0
1679292211.7825508,187,1.0
1679292211.7826083,188,1.0
1679292211.7826657,189,1.0
1679292211.7827234,190,0.0
1679292211.7827814,191,1.0
1679292211.7828393,192,1.0
1679292211.7828972,193,1.0
1679292211.782955,194,1.0
1679292211.7830129,195,0.0
1679292211.783071,196,1.0
1679292211.7831216,197,0.0
1679292211.7831712,198,0.0
1679292211.783228,199,1.0
1679292211.7832778,200,0.0
1679292211.7833345,201,1.0
1679292211.7833917,202,0.0
1679292211.7834413,203,0.0
1679292211.7834954,204,0.0
1679292211.7835445,205,0.0
1679292211.783593,206,0.0
1679292211.7836413,207,0.0
1679292211.78369,208,0.0
1679292211.783747,209,1.0
1679292211.783805,210,1.0
1679292211.783855,211,0.0
1679292211.7839036,212,0.0
1679292211.7839608,213,1.0
1679292211.7840188,214,1.0
1679292211.7840688,215,0.0
1679292211.7841182,216,0.0
1679292211.7841668,217,0.0
1679292211.7842155,218,0.0
1679292211.7842734,219,1.0
1679292211.7843232,220,0.0
1679292211.7843812,221,1.0
1679292211.7844312,222,0.0
1679292211.7844884,223,1.0
1679292211.7845464,224,0.0
1679292211.784604,225,1.0
1679292211.7846684,226,1.0
1679292211.784728,227,1.0
1679292211.784786,228,1.0
1679292211.7848365,229,0.0
1679292211.7848942,230,1.0
1679292211.7849445,231,0.0
1679292211.7850022,232,1.0
1679292211.7850604,233,1.0
1679292211.785118,234,1.0
1679292211.785169,235,0.0
1679292211.7852187,236,0.0
1679292211.7852674,237,0.0
1679292211.7853253,238,1.0
1679292211.7853835,239,1.0
1679292211.7854414,240,1.0
1679292211.785499,241,1.0
1679292211.7855568,242,1.0
1679292211.7856066,243,0.0
1679292211.7856555,244,0.0
1679292211.7857044,245,0.0
1679292211.7857533,246,0.0
1679292211.7858107,247,1.0
1679292211.7858608,248,0.0
1679292211.7859097,249,0.0
1679292211.7860506,250,0.0
1679292211.7861292,251,0.0
1679292211.7862208,252,1.0
1679292211.7862968,253,0.0
1679292211.7863703,254,0.0
1679292211.786444,255,0.0
1679292211.7865345,256,1.0
1679292211.7866204,257,1.0
1679292211.7867656,258,1.0
1679292211.786847,259,0.0
1679292211.7869225,260,0.0
1679292211.786994,261,0.0
1679292211.7870688,262,1.0
1679292211.78714,263,1.0
1679292211.787245,264,1.0
1679292211.78732,265,0.0
1679292211.7874231,266,0.0
1679292211.7875366,267,0.0
1679292211.7876167,268,1.0
1679292211.7876837,269,0.0
1679292211.7877598,270,1.0
1679292211.7878273,271,0.0
1679292211.7879014,272,1.0
1679292211.787975,273,1.0
1679292211.7880373,274,0.0
1679292211.7881026,275,1.0
1679292211.788206,276,1.0
1679292211.788278,277,0.0
1679292211.7883496,278,0.0
1679292211.7884617,279,0.0
1679292211.788546,280,0.0
1679292211.78864,281,0.0
1679292211.788736,282,1.0
1679292211.7888136,283,1.0
1679292211.7888896,284,1.0
1679292211.7889569,285,0.0
1679292211.789032,286,0.0
1679292211.7890964,287,0.0
1679292211.789155,288,0.0
1679292211.789212,289,0.0
1679292211.7893126,290,1.0
1679292211.7893927,291,1.0
1679292211.7894723,292,1.0
1679292211.7895522,293,1.0
1679292211.7896361,294,0.0
