Wall time,Step,Value
1679327311.6530004,0,1.0
1679327311.6530416,1,1.0
1679327311.6530626,2,0.0
1679327311.653089,3,1.0
1679327311.6531134,4,1.0
1679327311.6531303,5,0.0
1679327311.6531534,6,1.0
1679327311.6531694,7,0.0
1679327311.6531928,8,1.0
1679327311.6532083,9,0.0
1679327311.6532316,10,1.0
1679327311.6533484,11,0.0
1679327311.653483,12,0.0
1679327311.6536365,13,1.0
1679327311.653671,14,1.0
1679327311.653777,15,0.0
1679327311.6538901,16,1.0
1679327311.6540046,17,1.0
1679327311.6540663,18,1.0
1679327311.654118,19,0.0
1679327311.6541753,20,1.0
1679327311.654232,21,1.0
1679327311.654281,22,0.0
1679327311.6543288,23,0.0
1679327311.6543853,24,1.0
1679327311.6544425,25,1.0
1679327311.6544907,26,0.0
1679327311.6545465,27,1.0
1679327311.654595,28,0.0
1679327311.6546512,29,1.0
1679327311.6546993,30,0.0
1679327311.6547565,31,1.0
1679327311.654805,32,0.0
1679327311.6548607,33,1.0
1679327311.6549087,34,0.0
1679327311.6549644,35,1.0
1679327311.6550126,36,0.0
1679327311.6550598,37,0.0
1679327311.655115,38,1.0
1679327311.6551719,39,0.0
1679327311.6552281,40,1.0
1679327311.6552837,41,1.0
1679327311.6553395,42,1.0
1679327311.6553957,43,1.0
1679327311.6554432,44,0.0
1679327311.6554897,45,0.0
1679327311.6555367,46,0.0
1679327311.6555831,47,0.0
1679327311.6556296,48,0.0
1679327311.6556852,49,1.0
1679327311.6557415,50,1.0
1679327311.655797,51,1.0
1679327311.6558533,52,1.0
1679327311.6559088,53,1.0
1679327311.6559644,54,1.0
1679327311.6560202,55,1.0
1679327311.6560755,56,1.0
1679327311.6561234,57,0.0
1679327311.6561785,58,1.0
1679327311.656234,59,1.0
1679327311.6562898,60,1.0
1679327311.6563382,61,0.0
1679327311.6563854,62,0.0
1679327311.6564417,63,1.0
1679327311.6565096,64,0.0
1679327311.6565804,65,1.0
1679327311.656669,66,0.0
1679327311.656734,67,0.0
1679327311.6567812,68,0.0
1679327311.656828,69,0.0
1679327311.6568744,70,0.0
1679327311.6569304,71,0.0
1679327311.6569781,72,0.0
1679327311.6570334,73,1.0
1679327311.6570888,74,1.0
1679327311.6571627,75,1.0
1679327311.6572297,76,0.0
1679327311.6573067,77,0.0
1679327311.6573532,78,0.0
1679327311.6573992,79,0.0
1679327311.6574452,80,0.0
1679327311.6575005,81,1.0
1679327311.6575565,82,1.0
1679327311.657604,83,0.0
1679327311.6576512,84,0.0
1679327311.6577063,85,1.0
1679327311.6577544,86,0.0
1679327311.6578097,87,1.0
1679327311.6578655,88,1.0
1679327311.6579208,89,1.0
1679327311.657969,90,0.0
1679327311.658015,91,0.0
1679327311.6580698,92,1.0
1679327311.6581173,93,0.0
1679327311.6581724,94,1.0
1679327311.6582277,95,1.0
1679327311.6582758,96,0.0
1679327311.6583312,97,1.0
1679327311.6583788,98,0.0
1679327311.6584253,99,0.0
1679327311.658481,100,1.0
1679327311.6585362,101,1.0
1679327311.6585839,102,0.0
1679327311.658639,103,1.0
1679327311.658694,104,1.0
1679327311.658749,105,1.0
1679327311.658797,106,0.0
1679327311.6588526,107,1.0
1679327311.6589127,108,1.0
1679327311.6589632,109,0.0
1679327311.65901,110,0.0
1679327311.6590562,111,0.0
1679327311.6591022,112,0.0
1679327311.6591485,113,0.0
1679327311.659195,114,0.0
1679327311.65925,115,1.0
1679327311.6592975,116,0.0
1679327311.6593442,117,0.0
1679327311.6593993,118,1.0
1679327311.6594462,119,0.0
1679327311.6595013,120,1.0
1679327311.6595569,121,1.0
1679327311.6596065,122,0.0
1679327311.6596534,123,0.0
1679327311.659709,124,1.0
1679327311.659765,125,0.0
1679327311.6598127,126,0.0
1679327311.6598682,127,1.0
1679327311.659924,128,1.0
1679327311.6599793,129,1.0
1679327311.6600347,130,1.0
1679327311.6600823,131,0.0
1679327311.6601293,132,0.0
1679327311.6601846,133,1.0
1679327311.6602316,134,0.0
1679327311.660278,135,0.0
1679327311.660324,136,0.0
1679327311.6603794,137,1.0
1679327311.6604354,138,1.0
1679327311.6604908,139,1.0
1679327311.6605468,140,1.0
1679327311.6605947,141,0.0
1679327311.6606653,142,0.0
1679327311.660737,143,1.0
1679327311.660785,144,0.0
1679327311.6608315,145,0.0
1679327311.660887,146,1.0
1679327311.6609347,147,0.0
1679327311.6609902,148,0.0
1679327311.6610382,149,0.0
1679327311.6610935,150,1.0
1679327311.6611493,151,1.0
1679327311.661205,152,1.0
1679327311.6612532,153,0.0
1679327311.6613088,154,1.0
1679327311.6613648,155,1.0
1679327311.6614208,156,1.0
1679327311.6614766,157,1.0
1679327311.6615243,158,0.0
1679327311.661571,159,0.0
1679327311.6616263,160,1.0
1679327311.661674,161,0.0
1679327311.6617298,162,1.0
1679327311.661786,163,0.0
1679327311.6618338,164,0.0
1679327311.66188,165,0.0
1679327311.6619356,166,1.0
1679327311.661983,167,0.0
1679327311.6620293,168,0.0
1679327311.662075,169,0.0
1679327311.6621304,170,0.0
1679327311.6621854,171,1.0
1679327311.6622405,172,1.0
1679327311.6622963,173,0.0
1679327311.6623516,174,1.0
1679327311.6623993,175,0.0
1679327311.6624544,176,1.0
1679327311.6625018,177,0.0
1679327311.6625571,178,1.0
1679327311.6626048,179,0.0
1679327311.6626523,180,0.0
1679327311.6626985,181,0.0
1679327311.6627445,182,0.0
1679327311.6627903,183,0.0
1679327311.6628451,184,0.0
1679327311.6628928,185,0.0
1679327311.6629481,186,1.0
1679327311.6630037,187,1.0
1679327311.6630518,188,0.0
