Wall time,Step,Value
1679184366.27982,1,1.0
1679184366.388521,2,1.0
1679184366.5027978,3,1.0
1679184366.643836,4,1.0
1679184366.7450714,5,1.0
1679184366.820727,6,1.0
1679184366.8834026,7,1.0
1679184366.9907293,8,1.0
1679184367.1904538,9,1.0
1679184367.2795117,10,1.0
1679184367.3828094,11,1.0
1679184367.6036067,12,1.0
1679184369.5994055,13,0.0
1679184370.201635,14,1.0
1679184371.1343012,15,1.0
1679184371.8274431,16,1.0
1679184372.9774559,17,1.0
1679184373.7002056,18,1.0
1679184374.535647,19,1.0
1679184376.4313695,20,1.0
1679184377.188239,21,1.0
1679184377.7585206,22,1.0
1679184378.3943613,23,1.0
1679184379.7473176,24,1.0
1679184380.387846,25,1.0
1679184381.26499,26,1.0
1679184383.1658015,27,0.0
1679184383.83063,28,1.0
1679184384.7239017,29,1.0
1679184385.1939578,30,1.0
1679184385.7408764,31,1.0
1679184386.4033754,32,1.0
1679184386.9409428,33,1.0
1679184387.304461,34,1.0
1679184387.9675515,35,1.0
1679184388.5087287,36,1.0
1679184389.1903777,37,1.0
1679184389.6380544,38,1.0
1679184390.7281294,39,1.0
1679184391.6370144,40,1.0
1679184392.2341194,41,1.0
1679184392.8259523,42,1.0
1679184393.1809118,43,1.0
1679184394.3772593,44,1.0
1679184394.8591366,45,1.0
1679184395.5227206,46,1.0
1679184396.6198657,47,1.0
1679184397.7719247,48,1.0
1679184399.650698,49,0.0
1679184400.218155,50,1.0
1679184401.194567,51,1.0
1679184401.644716,52,1.0
1679184402.182047,53,1.0
1679184402.810978,54,1.0
1679184403.7415411,55,1.0
1679184404.5429218,56,1.0
1679184405.263557,57,1.0
1679184406.0377955,58,1.0
1679184408.057763,59,0.0
1679184408.5046415,60,1.0
1679184408.8356075,61,1.0
1679184409.2899272,62,1.0
1679184409.974848,63,1.0
1679184410.7335062,64,1.0
1679184411.6056368,65,1.0
1679184412.3619404,66,1.0
1679184413.4358041,67,1.0
1679184414.2852588,68,1.0
1679184415.0431943,69,1.0
1679184415.6950734,70,1.0
1679184416.664135,71,1.0
1679184417.3502567,72,1.0
1679184418.256307,73,1.0
1679184419.1672335,74,1.0
1679184419.4921405,75,1.0
1679184420.2756207,76,1.0
1679184421.4477956,77,1.0
1679184422.4718165,78,1.0
1679184423.635132,79,1.0
1679184425.8462057,80,0.0
1679184426.4356127,81,1.0
1679184427.055403,82,1.0
1679184428.6784642,83,1.0
1679184429.2275105,84,1.0
1679184429.8033211,85,1.0
1679184430.509575,86,1.0
1679184431.470895,87,1.0
1679184432.1227295,88,1.0
1679184433.1249483,89,1.0
1679184434.0592878,90,1.0
1679184434.750621,91,1.0
1679184435.379713,92,1.0
1679184436.0689483,93,1.0
1679184436.734861,94,1.0
1679184437.4437702,95,1.0
1679184438.230829,96,1.0
1679184438.8120527,97,1.0
1679184439.8505707,98,1.0
1679184440.5383725,99,1.0
1679184441.551606,100,1.0
1679184442.2800121,101,1.0
1679184443.4600444,102,1.0
1679184444.3152394,103,1.0
1679184446.2805207,104,0.0
1679184446.7641954,105,1.0
1679184448.0825005,106,1.0
1679184449.5809011,107,1.0
1679184450.7078545,108,1.0
1679184452.2345994,109,1.0
1679184452.8151343,110,1.0
1679184453.5799387,111,1.0
1679184454.1695628,112,1.0
1679184454.5685616,113,1.0
1679184455.365859,114,1.0
1679184456.3479974,115,1.0
1679184457.5766485,116,1.0
1679184458.149772,117,1.0
1679184459.2523308,118,1.0
1679184460.0014358,119,1.0
1679184461.0075579,120,1.0
1679184461.459661,121,1.0
1679184462.1228907,122,1.0
1679184463.1929429,123,1.0
1679184464.7559118,124,1.0
1679184465.3712919,125,1.0
1679184466.6824856,126,1.0
1679184467.1749592,127,1.0
1679184468.8205435,128,1.0
1679184470.4265482,129,1.0
1679184471.1333625,130,1.0
1679184471.904978,131,1.0
1679184473.19218,132,1.0
1679184473.804043,133,1.0
1679184474.5414171,134,1.0
1679184475.3616931,135,1.0
1679184475.9208884,136,1.0
1679184476.8423374,137,1.0
1679184477.4996321,138,1.0
1679184478.2732086,139,1.0
1679184479.5580795,140,1.0
1679184480.142897,141,1.0
1679184480.6117017,142,1.0
1679184481.6571782,143,1.0
1679184482.2431176,144,1.0
1679184482.8218818,145,1.0
1679184483.499582,146,1.0
1679184484.2922885,147,1.0
1679184485.159977,148,1.0
1679184485.7675736,149,1.0
1679184487.0703626,150,1.0
1679184489.0308306,151,1.0
1679184489.577368,152,1.0
1679184491.3444536,153,1.0
1679184491.7856216,154,1.0
1679184492.3333032,155,1.0
1679184493.875118,156,1.0
1679184494.6916168,157,1.0
1679184495.7200024,158,1.0
1679184496.7757523,159,1.0
1679184498.61229,160,0.0
1679184499.3798943,161,1.0
1679184499.675557,162,1.0
1679184500.5634613,163,1.0
1679184501.5153005,164,1.0
1679184502.2208362,165,1.0
1679184502.9589632,166,1.0
1679184503.6807046,167,1.0
1679184504.2659764,168,1.0
1679184504.9763503,169,1.0
1679184505.7433882,170,1.0
1679184506.4537914,171,1.0
1679184507.374275,172,1.0
1679184507.9472494,173,1.0
1679184508.9662778,174,1.0
1679184510.1725001,175,1.0
1679184512.2123437,176,0.0
1679184512.9786062,177,1.0
1679184514.7902021,178,0.0
1679184515.1822758,179,1.0
1679184515.958125,180,1.0
1679184516.905838,181,1.0
1679184517.5862808,182,1.0
1679184517.9649644,183,1.0
1679184518.6198928,184,1.0
1679184520.567339,185,0.0
1679184521.143666,186,1.0
1679184521.5061998,187,1.0
1679184522.307717,188,1.0
1679184522.8695621,189,1.0
1679184523.6455362,190,1.0
1679184525.9028966,191,0.0
1679184526.7629175,192,1.0
1679184527.4853766,193,1.0
1679184528.3486264,194,1.0
1679184529.2243412,195,1.0
1679184531.2155602,196,0.0
1679184531.9926057,197,1.0
1679184532.7475889,198,1.0
1679184533.4189804,199,1.0
1679184534.427136,200,1.0
1679184535.3064847,201,1.0
1679184536.4080865,202,1.0
1679184538.4180512,203,0.0
1679184539.8703923,204,1.0
1679184540.8114693,205,1.0
1679184541.401819,206,1.0
1679184542.0641472,207,1.0
1679184543.1644769,208,1.0
1679184543.7162004,209,1.0
1679184544.5910041,210,1.0
1679184545.5438166,211,1.0
1679184546.299012,212,1.0
1679184547.1400547,213,1.0
1679184547.8032243,214,1.0
1679184548.5263941,215,1.0
1679184550.6956522,216,0.0
1679184551.611198,217,1.0
1679184552.0538507,218,1.0
1679184552.6046083,219,1.0
1679184553.671895,220,1.0
1679184554.7411706,221,1.0
1679184555.1836376,222,1.0
1679184555.6283104,223,1.0
1679184556.184988,224,1.0
1679184558.1497273,225,0.0
1679184559.2524834,226,1.0
1679184561.0863683,227,1.0
1679184561.7838418,228,1.0
1679184562.3716822,229,1.0
1679184563.3428955,230,1.0
1679184564.0031648,231,1.0
1679184566.1948612,232,0.0
1679184567.031237,233,1.0
1679184567.9043097,234,1.0
1679184568.5993536,235,1.0
1679184569.0722544,236,1.0
1679184569.5526035,237,1.0
