Wall time,Step,Value
1679277995.4078298,1,1.0
1679277995.6136968,2,1.0
1679277995.922236,3,1.0
1679277996.1230986,4,1.0
1679277996.2571857,5,1.0
1679277996.3311164,6,1.0
1679277996.5064113,7,1.0
1679277996.599147,8,1.0
1679277996.6725621,9,1.0
1679277996.8101645,10,1.0
1679277996.965547,11,1.0
1679277997.0231452,12,1.0
1679277998.1500697,13,0.0
1679277998.5788898,14,1.0
1679277998.7980733,15,1.0
1679277999.070857,16,1.0
1679277999.9954398,17,1.0
1679278000.2834342,18,1.0
1679278000.7276144,19,1.0
1679278001.2353215,20,1.0
1679278001.5682967,21,1.0
1679278001.756328,22,1.0
1679278002.8568752,23,1.0
1679278003.1970103,24,1.0
1679278003.5469792,25,1.0
1679278003.9603298,26,1.0
1679278004.4046013,27,1.0
1679278004.8407264,28,1.0
1679278005.137113,29,1.0
1679278005.6932359,30,1.0
1679278006.2241874,31,1.0
1679278006.5060399,32,1.0
1679278007.0554383,33,1.0
1679278007.4636307,34,1.0
1679278007.7663925,35,1.0
1679278008.2332609,36,1.0
1679278008.6404772,37,1.0
1679278009.0088317,38,1.0
1679278009.5246797,39,1.0
1679278010.6617994,40,0.0
1679278010.9078853,41,1.0
1679278011.196947,42,1.0
1679278011.7472534,43,1.0
1679278012.3030286,44,1.0
1679278012.5568223,45,1.0
1679278013.058899,46,1.0
1679278014.1863606,47,0.0
1679278014.5396872,48,1.0
1679278014.9440117,49,1.0
1679278015.304619,50,1.0
1679278015.715157,51,1.0
1679278016.0772595,52,1.0
1679278016.6042163,53,1.0
1679278016.9005115,54,1.0
1679278017.4172854,55,1.0
1679278017.9478824,56,1.0
1679278018.402924,57,1.0
1679278018.745069,58,1.0
1679278019.0926712,59,1.0
1679278019.663417,60,1.0
1679278020.198861,61,1.0
1679278020.775515,62,1.0
1679278021.0655732,63,1.0
1679278021.5245512,64,1.0
1679278022.328399,65,1.0
1679278023.4190638,66,1.0
1679278023.7065036,67,1.0
1679278024.052824,68,1.0
1679278024.985677,69,1.0
1679278025.401591,70,1.0
1679278025.5866983,71,1.0
1679278026.810298,72,0.0
1679278027.222368,73,1.0
1679278027.5151665,74,1.0
1679278027.8208218,75,1.0
1679278028.3353503,76,1.0
1679278028.568622,77,1.0
1679278029.1387646,78,1.0
1679278029.4931977,79,1.0
1679278029.9822176,80,1.0
1679278030.350393,81,1.0
1679278030.6081088,82,1.0
1679278030.9824011,83,1.0
1679278031.3995266,84,1.0
1679278031.989983,85,1.0
1679278032.480255,86,1.0
1679278032.9519405,87,1.0
1679278034.0376709,88,1.0
1679278034.4513218,89,1.0
1679278034.7082558,90,1.0
1679278035.1901023,91,1.0
1679278035.6218386,92,1.0
1679278036.0560749,93,1.0
1679278036.5432851,94,1.0
1679278037.0173676,95,1.0
1679278037.573688,96,1.0
1679278038.1132467,97,1.0
1679278038.5838087,98,1.0
1679278038.8338265,99,1.0
1679278039.0273879,100,1.0
1679278039.3964627,101,1.0
1679278039.8085518,102,1.0
1679278040.275122,103,1.0
1679278040.685022,104,1.0
1679278041.1062815,105,1.0
1679278041.6351962,106,1.0
1679278041.8809505,107,1.0
1679278042.5390837,108,1.0
1679278042.9433744,109,1.0
1679278043.7565067,110,1.0
1679278044.1550703,111,1.0
1679278044.3970494,112,1.0
1679278045.4833906,113,0.0
1679278046.7623944,114,0.0
1679278047.135102,115,1.0
1679278047.7323587,116,1.0
1679278047.9848642,117,1.0
1679278048.4663315,118,1.0
1679278049.019653,119,1.0
1679278049.3220174,120,1.0
1679278049.5210712,121,1.0
1679278049.880537,122,1.0
1679278051.0149722,123,0.0
1679278051.3610084,124,1.0
1679278051.7046137,125,1.0
1679278052.8494596,126,0.0
1679278053.2688358,127,1.0
1679278053.6249719,128,1.0
1679278054.0483692,129,1.0
1679278054.4027064,130,1.0
1679278054.8144581,131,1.0
1679278055.0670235,132,1.0
1679278055.3018963,133,1.0
1679278055.8310714,134,1.0
1679278056.2941034,135,1.0
1679278056.4873598,136,1.0
1679278056.895447,137,1.0
1679278057.1988704,138,1.0
1679278057.6034355,139,1.0
1679278058.0471466,140,1.0
1679278058.4504817,141,1.0
1679278058.8704576,142,1.0
1679278059.1621153,143,1.0
1679278059.4647646,144,1.0
1679278059.8789468,145,1.0
1679278060.3337202,146,1.0
1679278060.6263306,147,1.0
1679278061.0406353,148,1.0
1679278062.3536465,149,0.0
1679278062.8782096,150,1.0
1679278063.174641,151,1.0
1679278063.4835935,152,1.0
1679278063.9820797,153,1.0
1679278064.3387444,154,1.0
1679278065.0316246,155,1.0
1679278065.4502873,156,1.0
1679278065.8041172,157,1.0
1679278066.2689602,158,1.0
1679278066.5779686,159,1.0
1679278066.8818302,160,1.0
1679278067.6336336,161,1.0
1679278067.977664,162,1.0
1679278068.1663404,163,1.0
1679278069.2896705,164,0.0
1679278069.5831745,165,1.0
1679278069.8862858,166,1.0
1679278070.2974093,167,1.0
1679278070.941532,168,1.0
1679278071.0779243,169,1.0
1679278071.511352,170,1.0
